CUPOM;DATA;PLACA;POSTO;KM ATUAL;KM FINAL;DESCRIÇÃO DO ABASTECIMENTO;CONSUMO;DESCONTO;VALOR UNIT;CUSTO TOTAL;C/ DESC;KM Rodados ;KM/Litro;;;;;;;;;;;;
Ajuste M.;16/01/2023;PZE 8684;;341327;;DIESEL;96,30;;;R$ 0,00;R$ 0,00;117464,00;1219,77;;;;;;;;;;;;
Ajuste M.;16/01/2023;PZE 8684;;341828;;DIESEL;94,50;;;R$ 0,00;R$ 0,00;501,00;5,30;;;;;;;;;;;;
Ajuste M.;16/01/2023;PZE 8684;;342425;;DIESEL;102,30;;;R$ 0,00;R$ 0,00;597,00;5,84;;;;;;;;;;;;
157555;16/01/2023;PZE 8684;TATITA FERNÃO DIAS;342848;;DIESEL;71,27;;6,29;R$ 448,29;R$ 6,29;423,00;5,94;;;;;;;;;;;;
157617;17/01/2023;FZG 4F66;TATITA FERNÃO DIAS;365758;;DIESEL;43,36;;6,29;272,73;R$ 6,29;-218681,00;-5043,50;;;;;;;;;;;;
Ajuste M.;17/01/2023;NYF 1166;;699122;;DIESEL;179,52;;;R$ 0,00;R$ 0,00;114178,00;636,02;;;;;;;;;;;;
1394555;17/01/2023;NYF 1166;SIM REDE DE POSTOS;699690;;DIESEL;176,47;;6,06;R$ 1.069,41;R$ 6,06;568,00;3,22;;;;;;;;;;;;
Ajuste M.;17/01/2023;QWS 8608;;202325;;DIESEL;85,30;;;R$ 0,00;R$ 0,00;-446578,00;-5235,38;;;;;;;;;;;;
157658;17/01/2023;QWS 8608;TATITA FERNÃO DIAS;202812;;DIESEL;119,24;;6,29;R$ 750,02;R$ 6,29;487,00;4,08;;;;;;;;;;;;
262983;17/01/2023;RMF 8H75;POSTO ZÉ RAMOS;117047;;GASOLINA;33,35;;4,99;R$ 166,42;R$ 4,99;-532409,00;-15963,81;;;;;;;;;;;;
33606;17/01/2023;RUJ 4I21;ULTRAMARINO;26754;;DIESEL;87,14;8,71;6,32;542,01;R$ 6,22;;;;;;;;;;;;;;
279289;18/01/2023;EWJ 1D79;BEIRA MINHO;649787;;DIESEL;92,40;27,72;6,89;608,92;R$ 6,59;6379,00;69,04;;;;;;;;;;;;
Ajuste M.;18/01/2023;FZG 4F66;;366064;;DIESEL;38,12;;;R$ 0,00;R$ 0,00;-333058,00;-8737,09;;;;;;;;;;;;
157853;18/01/2023;FZG 4F66;TATITA FERNÃO DIAS;366371;;DIESEL;42,93;;6,29;R$ 270,03;R$ 6,29;307,00;7,15;;;;;;;;;;;;
33871;18/01/2023;GGN 2B61;ULTRAMARINO;77866;;DIESEL;563,13;56,32;6,32;3502,66;R$ 6,22;-774712,00;-1375,72;;;;;;;;;;;;
